Kod;Nazwa;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
0;Poland;38529866;38538447;38533299;38495659;38478602;38437239;38432992;38433558;38411148;38382576;38265013;
200000;Lower Silesian;2917242;2916577;2914362;2909997;2908457;2904207;2903710;2902547;2901225;2900163;2891321;
400000;Kuyavian-Pomeranian;2098711;2098370;2096404;2092564;2089992;2086210;2083927;2082944;2077775;2072373;2061942;
600000;Lublin;2178611;2171857;2165651;2156150;2147746;2139726;2133340;2126317;2117619;2108270;2095258;
800000;Lubush;1023215;1023158;1023317;1021470;1020307;1018075;1017376;1016832;1014548;1011592;1007145;
1000000;Lodz;2542436;2533681;2524651;2513093;2504136;2493603;2485323;2476315;2466322;2454779;2437970;
1200000;Lesser Poland;3336699;3346796;3354077;3360581;3368336;3372618;3382260;3391380;3400577;3410901;3410441;
1400000;Masovian;5267072;5285604;5301760;5316840;5334511;5349114;5365898;5384617;5403412;5423168;5425028;
1600000;Opole;1017241;1013950;1010203;1004416;1000858;996011;993036;990069;986506;982626;976774;
1800000;Subcarpathian;2127948;2128687;2129951;2129294;2129187;2127657;2127656;2129138;2129015;2127164;2121229;
2000000;Podlaskie;1203448;1200982;1198690;1194965;1191918;1188800;1186625;1184548;1181533;1178353;1173286;
2200000;Pomeranian;2275494;2283500;2290070;2295811;2302077;2307710;2315611;2324251;2333523;2343928;2346671;
2400000;Silesian;4634935;4626357;4615870;4599447;4585924;4570849;4559164;4548180;4533565;4517635;4492330;
2600000;Holy Cross;1282546;1278116;1273995;1268239;1263176;1257179;1252900;1247732;1241546;1233961;1224626;
2800000;Warmian-Masurian;1453782;1452596;1450697;1446915;1443967;1439675;1436367;1433945;1428983;1422737;1416495;
3000000;Greater Poland;3446745;3455477;3462196;3467016;3472579;3475323;3481625;3489210;3493969;3498733;3496450;
3200000;West Pomeranian;1723741;1722739;1721405;1718861;1715431;1710482;1708174;1705533;1701030;1696193;1688047;
